Evaluation mean precision: 0.0
Image100 is being loaded: T1ce.jpegStep 0 (0) @ Episode 1/5, action 10, reward -3,loss: 1.71626758575
Episode Reward: -3 Episode Length: 1Step 0 (1) @ Episode 2/5, action 10, reward -3,loss: 1.3894867897
Episode Reward: -3 Episode Length: 1Step 0 (2) @ Episode 3/5, action 8, reward -1,loss: 1.14987635612
Step 1 (3) @ Episode 3/5, action 1, reward -1,loss: 2.23024988174
Step 2 (4) @ Episode 3/5, action 3, reward -1,loss: 1.646017313
Step 3 (5) @ Episode 3/5, action 2, reward -1,loss: 1.16585183144
Step 4 (6) @ Episode 3/5, action 0, reward -1,loss: 1.65852022171
Step 5 (7) @ Episode 3/5, action 3, reward -1,loss: 1.68056738377
Step 6 (8) @ Episode 3/5, action 3, reward -1,loss: 1.68627166748
Step 7 (9) @ Episode 3/5, action 8, reward -1,loss: 2.18250274658
Step 8 (10) @ Episode 3/5, action 10, reward -3,loss: 1.14798700809
Episode Reward: -11 Episode Length: 9Step 0 (11) @ Episode 4/5, action 1, reward 1,loss: 1.65869998932
Step 1 (12) @ Episode 4/5, action 2, reward -1,loss: 2.44424962997
Step 2 (13) @ Episode 4/5, action 7, reward -1,loss: 2.69096398354
Step 3 (14) @ Episode 4/5, action 2, reward -1,loss: 1.69577980042
Step 4 (15) @ Episode 4/5, action 3, reward -1,loss: 0.908890068531
Step 5 (16) @ Episode 4/5, action 4, reward -1,loss: 1.91751217842
Step 6 (17) @ Episode 4/5, action 2, reward -1,loss: 1.41802895069
Step 7 (18) @ Episode 4/5, action 0, reward 1,loss: 1.67429196835
Step 8 (19) @ Episode 4/5, action 2, reward -1,loss: 1.69847202301
Step 9 (20) @ Episode 4/5, action 0, reward -1,loss: 2.18916940689
Step 10 (21) @ Episode 4/5, action 6, reward 1,loss: 1.6406172514
Step 11 (22) @ Episode 4/5, action 8, reward -1,loss: 1.42550361156
Step 12 (23) @ Episode 4/5, action 4, reward -1,loss: 1.65000426769
Step 13 (24) @ Episode 4/5, action 8, reward -1,loss: 1.92052173615
Step 14 (25) @ Episode 4/5, action 9, reward -1,loss: 1.6711537838
Step 15 (26) @ Episode 4/5, action 5, reward -1,loss: 2.43666744232
Step 16 (27) @ Episode 4/5, action 9, reward -1,loss: 1.69719004631
Step 17 (28) @ Episode 4/5, action 5, reward -1,loss: 1.42904722691
Step 18 (29) @ Episode 4/5, action 6, reward -1,loss: 1.1299353838
Step 19 (30) @ Episode 4/5, action 8, reward -1,loss: 1.66567611694
Step 20 (31) @ Episode 4/5, action 4, reward -1,loss: 1.15422356129
Step 21 (32) @ Episode 4/5, action 3, reward -1,loss: 1.67434430122
Step 22 (33) @ Episode 4/5, action 10, reward -3,loss: 1.66683495045
Episode Reward: -19 Episode Length: 23Step 0 (34) @ Episode 5/5, action 1, reward 1,loss: 1.92432022095
Step 1 (35) @ Episode 5/5, action 7, reward -1,loss: 1.90340256691
Step 2 (36) @ Episode 5/5, action 10, reward -3,loss: 1.89254009724
Episode Reward: -3 Episode Length: 3Image101 is being loaded: T1ce.jpegStep 0 (37) @ Episode 1/5, action 4, reward 1,loss: 1.40673518181
Step 1 (38) @ Episode 1/5, action 5, reward -1,loss: 1.94456148148
Step 2 (39) @ Episode 1/5, action 3, reward -1,loss: 1.92448616028
Step 3 (40) @ Episode 1/5, action 6, reward 1,loss: 1.94131302834
Step 4 (41) @ Episode 1/5, action 10, reward -3,loss: 1.91573882103
Episode Reward: -3 Episode Length: 5Step 0 (42) @ Episode 2/5, action 0, reward 1,loss: 1.92356491089
Step 1 (43) @ Episode 2/5, action 3, reward -1,loss: 2.40343475342
Step 2 (44) @ Episode 2/5, action 2, reward -1,loss: 1.95094931126
Step 3 (45) @ Episode 2/5, action 3, reward -1,loss: 1.6542699337
Step 4 (46) @ Episode 2/5, action 2, reward -1,loss: 1.44277870655
Step 5 (47) @ Episode 2/5, action 6, reward 1,loss: 2.41151094437
Step 6 (48) @ Episode 2/5, action 7, reward -1,loss: 2.14712810516
Step 7 (49) @ Episode 2/5, action 4, reward -1,loss: 1.94357323647
Step 8 (50) @ Episode 2/5, action 8, reward -1,loss: 2.16815376282
Step 9 (51) @ Episode 2/5, action 2, reward 1,loss: 1.43625688553
Step 10 (52) @ Episode 2/5, action 6, reward -1,loss: 1.69213271141
Step 11 (53) @ Episode 2/5, action 0, reward 1,loss: 1.43374752998
Step 12 (54) @ Episode 2/5, action 2, reward 1,loss: 1.68147647381
Step 13 (55) @ Episode 2/5, action 2, reward -1,loss: 2.48515915871
Step 14 (56) @ Episode 2/5, action 0, reward 1,loss: 2.44139480591
Step 15 (57) @ Episode 2/5, action 2, reward -1,loss: 1.95108246803
Step 16 (58) @ Episode 2/5, action 10, reward -3,loss: 1.13390779495
Episode Reward: -7 Episode Length: 17Step 0 (59) @ Episode 3/5, action 9, reward 1,loss: 1.89711546898
Step 1 (60) @ Episode 3/5, action 9, reward -1,loss: 1.39804553986
Step 2 (61) @ Episode 3/5, action 8, reward -1,loss: 1.14610230923
Step 3 (62) @ Episode 3/5, action 6, reward -1,loss: 1.139082551
Step 4 (63) @ Episode 3/5, action 5, reward -1,loss: 1.70309638977
Step 5 (64) @ Episode 3/5, action 5, reward -1,loss: 1.40628743172
Step 6 (65) @ Episode 3/5, action 2, reward -1,loss: 1.92109107971
Step 7 (66) @ Episode 3/5, action 10, reward -3,loss: 1.14972496033
Episode Reward: -8 Episode Length: 8Step 0 (67) @ Episode 4/5, action 2, reward 1,loss: 2.21680212021
Step 1 (68) @ Episode 4/5, action 9, reward -1,loss: 1.70167291164
Step 2 (69) @ Episode 4/5, action 0, reward 1,loss: 1.94470953941
Step 3 (70) @ Episode 4/5, action 2, reward -1,loss: 1.47822666168
Step 4 (71) @ Episode 4/5, action 9, reward -1,loss: 1.94388866425
Step 5 (72) @ Episode 4/5, action 1, reward -1,loss: 1.16935873032
Step 6 (73) @ Episode 4/5, action 2, reward -1,loss: 1.68721795082
Step 7 (74) @ Episode 4/5, action 1, reward -1,loss: 1.67047286034
Step 8 (75) @ Episode 4/5, action 9, reward -1,loss: 1.92609751225
Step 9 (76) @ Episode 4/5, action 4, reward -1,loss: 1.91852235794
Step 10 (77) @ Episode 4/5, action 8, reward -1,loss: 1.17424678802
Step 11 (78) @ Episode 4/5, action 6, reward -1,loss: 1.64583063126
Step 12 (79) @ Episode 4/5, action 3, reward -1,loss: 1.15201163292
Step 13 (80) @ Episode 4/5, action 10, reward -3,loss: 0.917163252831
Episode Reward: -12 Episode Length: 14Step 0 (81) @ Episode 5/5, action 9, reward 1,loss: 2.69813132286
Step 1 (82) @ Episode 5/5, action 8, reward -1,loss: 1.93227887154
Step 2 (83) @ Episode 5/5, action 8, reward -1,loss: 1.96501350403
Step 3 (84) @ Episode 5/5, action 2, reward -1,loss: 1.17607235909
Step 4 (85) @ Episode 5/5, action 7, reward -1,loss: 1.92650735378
Step 5 (86) @ Episode 5/5, action 7, reward -1,loss: 1.9175453186
Step 6 (87) @ Episode 5/5, action 1, reward -1,loss: 2.19307088852
Step 7 (88) @ Episode 5/5, action 9, reward -1,loss: 1.6708637476
Step 8 (89) @ Episode 5/5, action 3, reward -1,loss: 2.46039104462
Step 9 (90) @ Episode 5/5, action 2, reward -1,loss: 0.88139373064
Step 10 (91) @ Episode 5/5, action 1, reward -1,loss: 1.42516171932
Step 11 (92) @ Episode 5/5, action 0, reward 1,loss: 1.93296003342
Step 12 (93) @ Episode 5/5, action 6, reward -1,loss: 1.92357933521
Step 13 (94) @ Episode 5/5, action 2, reward 1,loss: 2.22121882439
Step 14 (95) @ Episode 5/5, action 4, reward -1,loss: 1.20610618591
Step 15 (96) @ Episode 5/5, action 4, reward -1,loss: 2.16198825836
Step 16 (97) @ Episode 5/5, action 10, reward -3,loss: 1.64993524551
Episode Reward: -13 Episode Length: 17Image102 is being loaded: T1ce.jpegStep 0 (98) @ Episode 1/5, action 7, reward 1,loss: 1.89561092854
Step 1 (99) @ Episode 1/5, action 9, reward 1,loss: 1.45732450485
Step 2 (100) @ Episode 1/5, action 1, reward 1,loss: 1.68966197968
Step 3 (101) @ Episode 1/5, action 2, reward -1,loss: 1.64104509354
Step 4 (102) @ Episode 1/5, action 9, reward -1,loss: 1.9615187645
Step 5 (103) @ Episode 1/5, action 9, reward -1,loss: 1.42668437958
Step 6 (104) @ Episode 1/5, action 7, reward -1,loss: 1.67896866798
Step 7 (105) @ Episode 1/5, action 2, reward -1,loss: 1.19153809547
Step 8 (106) @ Episode 1/5, action 4, reward -1,loss: 0.930522501469
Step 9 (107) @ Episode 1/5, action 0, reward 1,loss: 1.18537080288
Step 10 (108) @ Episode 1/5, action 5, reward -1,loss: 1.40699744225
Step 11 (109) @ Episode 1/5, action 0, reward -1,loss: 0.940338253975
Step 12 (110) @ Episode 1/5, action 1, reward 1,loss: 1.9398560524
Step 13 (111) @ Episode 1/5, action 5, reward -1,loss: 1.6889500618
Step 14 (112) @ Episode 1/5, action 4, reward -1,loss: 1.95598590374
Step 15 (113) @ Episode 1/5, action 10, reward -3,loss: 1.17819070816
Episode Reward: -8 Episode Length: 16Step 0 (114) @ Episode 2/5, action 9, reward 1,loss: 1.67409694195
Step 1 (115) @ Episode 2/5, action 5, reward -1,loss: 2.9681634903
Step 2 (116) @ Episode 2/5, action 7, reward -1,loss: 1.62724089622
Step 3 (117) @ Episode 2/5, action 8, reward -1,loss: 1.39403533936
Step 4 (118) @ Episode 2/5, action 1, reward 1,loss: 1.70426940918
Step 5 (119) @ Episode 2/5, action 5, reward -1,loss: 1.65715444088
Step 6 (120) @ Episode 2/5, action 0, reward 1,loss: 2.15414500237
Step 7 (121) @ Episode 2/5, action 9, reward -1,loss: 1.42238616943
Step 8 (122) @ Episode 2/5, action 6, reward -1,loss: 1.6914229393
Step 9 (123) @ Episode 2/5, action 7, reward 1,loss: 1.72201347351
Step 10 (124) @ Episode 2/5, action 2, reward 1,loss: 1.66312921047
Step 11 (125) @ Episode 2/5, action 7, reward 1,loss: 2.66966724396
Step 12 (126) @ Episode 2/5, action 7, reward 1,loss: 1.92939138412
Step 13 (127) @ Episode 2/5, action 4, reward -1,loss: 1.68154191971
Step 14 (128) @ Episode 2/5, action 0, reward -1,loss: 2.1941113472
Step 15 (129) @ Episode 2/5, action 5, reward -1,loss: 1.71050941944
Step 16 (130) @ Episode 2/5, action 9, reward -1,loss: 1.42120504379
Step 17 (131) @ Episode 2/5, action 4, reward -1,loss: 1.41163682938
Step 18 (132) @ Episode 2/5, action 7, reward -1,loss: 1.41951084137
Step 19 (133) @ Episode 2/5, action 6, reward -1,loss: 0.897632539272
Step 20 (134) @ Episode 2/5, action 3, reward -1,loss: 1.14909768105
Step 21 (135) @ Episode 2/5, action 9, reward -1,loss: 1.68106663227
Step 22 (136) @ Episode 2/5, action 4, reward -1,loss: 2.21795511246
Step 23 (137) @ Episode 2/5, action 7, reward -1,loss: 2.17608737946
Step 24 (138) @ Episode 2/5, action 7, reward -1,loss: 2.49763250351
Step 25 (139) @ Episode 2/5, action 1, reward -1,loss: 1.67356538773
Step 26 (140) @ Episode 2/5, action 0, reward -1,loss: 1.16919398308
Step 27 (141) @ Episode 2/5, action 10, reward -3,loss: 1.42073845863
Episode Reward: -16 Episode Length: 28Step 0 (142) @ Episode 3/5, action 9, reward 1,loss: 0.888433337212
Step 1 (143) @ Episode 3/5, action 3, reward 1,loss: 1.17461740971
Step 2 (144) @ Episode 3/5, action 5, reward -1,loss: 1.62476122379
Step 3 (145) @ Episode 3/5, action 2, reward -1,loss: 1.39352273941
Step 4 (146) @ Episode 3/5, action 4, reward -1,loss: 1.68880355358
Step 5 (147) @ Episode 3/5, action 6, reward 1,loss: 1.40583670139
Step 6 (148) @ Episode 3/5, action 0, reward -1,loss: 1.9145629406
Step 7 (149) @ Episode 3/5, action 8, reward -1,loss: 1.40433824062
Step 8 (150) @ Episode 3/5, action 1, reward 1,loss: 0.890547454357
Step 9 (151) @ Episode 3/5, action 5, reward -1,loss: 1.47274470329
Step 10 (152) @ Episode 3/5, action 2, reward 1,loss: 1.58383631706
Step 11 (153) @ Episode 3/5, action 2, reward 1,loss: 1.93333792686
Step 12 (154) @ Episode 3/5, action 3, reward -1,loss: 1.40892982483
Step 13 (155) @ Episode 3/5, action 10, reward -3,loss: 2.43702745438
