Evaluation mean precision: 0.0146666666667
Best model changed with mean precision: 0.0146666666667
Image100 is being loaded: T2.jpegStep 0 (2505) @ Episode 1/5, action 8, reward -1,loss: 1.92439448833
Step 1 (2506) @ Episode 1/5, action 1, reward 1,loss: 1.9320306778
Step 2 (2507) @ Episode 1/5, action 1, reward -1,loss: 1.28218495846
Step 3 (2508) @ Episode 1/5, action 0, reward -1,loss: 1.34585916996
Step 4 (2509) @ Episode 1/5, action 0, reward -1,loss: 1.31306028366
Step 5 (2510) @ Episode 1/5, action 8, reward 1,loss: 1.31944942474
Step 6 (2511) @ Episode 1/5, action 0, reward -1,loss: 1.02793633938
Step 7 (2512) @ Episode 1/5, action 5, reward -1,loss: 1.65502822399
Step 8 (2513) @ Episode 1/5, action 0, reward -1,loss: 1.07866728306
Step 9 (2514) @ Episode 1/5, action 0, reward -1,loss: 1.09300172329
Step 10 (2515) @ Episode 1/5, action 8, reward 1,loss: 0.958152651787
Step 11 (2516) @ Episode 1/5, action 8, reward -1,loss: 0.736635029316
Step 12 (2517) @ Episode 1/5, action 0, reward -1,loss: 1.22413754463
Step 13 (2518) @ Episode 1/5, action 6, reward -1,loss: 1.19930148125
Step 14 (2519) @ Episode 1/5, action 8, reward -1,loss: 1.02302718163
Step 15 (2520) @ Episode 1/5, action 1, reward -1,loss: 1.28885650635
Step 16 (2521) @ Episode 1/5, action 1, reward -1,loss: 1.01350212097
Step 17 (2522) @ Episode 1/5, action 0, reward -1,loss: 0.931390285492
Step 18 (2523) @ Episode 1/5, action 0, reward -1,loss: 1.24812161922
Step 19 (2524) @ Episode 1/5, action 8, reward -1,loss: 1.43001651764
Step 20 (2525) @ Episode 1/5, action 8, reward -1,loss: 1.2666670084
Step 21 (2526) @ Episode 1/5, action 8, reward -1,loss: 1.1891412735
Step 22 (2527) @ Episode 1/5, action 8, reward -1,loss: 1.45058870316
Step 23 (2528) @ Episode 1/5, action 0, reward -1,loss: 1.0697439909
Step 24 (2529) @ Episode 1/5, action 0, reward -1,loss: 0.654754757881
Step 25 (2530) @ Episode 1/5, action 3, reward -1,loss: 2.08012676239
Step 26 (2531) @ Episode 1/5, action 0, reward -1,loss: 1.04678881168
Step 27 (2532) @ Episode 1/5, action 0, reward -1,loss: 1.0770368576
Step 28 (2533) @ Episode 1/5, action 8, reward -1,loss: 0.976027667522
Step 29 (2534) @ Episode 1/5, action 8, reward -1,loss: 1.34419393539
Step 30 (2535) @ Episode 1/5, action 0, reward -1,loss: 1.0048520565
Step 31 (2536) @ Episode 1/5, action 0, reward -1,loss: 1.03153276443
Step 32 (2537) @ Episode 1/5, action 0, reward -1,loss: 1.31603312492
Step 33 (2538) @ Episode 1/5, action 0, reward -1,loss: 1.05741739273
Step 34 (2539) @ Episode 1/5, action 0, reward -1,loss: 1.15679645538
Step 35 (2540) @ Episode 1/5, action 0, reward -1,loss: 1.00609183311
Step 36 (2541) @ Episode 1/5, action 7, reward -1,loss: 0.658434391022
Step 37 (2542) @ Episode 1/5, action 7, reward -1,loss: 0.641339302063
Step 38 (2543) @ Episode 1/5, action 7, reward -1,loss: 1.02174437046
Step 39 (2544) @ Episode 1/5, action 7, reward -1,loss: 0.83247089386
Step 40 (2545) @ Episode 1/5, action 7, reward -1,loss: 1.74692487717
Step 41 (2546) @ Episode 1/5, action 0, reward -1,loss: 0.855033397675
Step 42 (2547) @ Episode 1/5, action 7, reward -1,loss: 0.782702922821
Step 43 (2548) @ Episode 1/5, action 0, reward -1,loss: 0.749938249588
Step 44 (2549) @ Episode 1/5, action 7, reward -1,loss: 0.847474455833
Step 45 (2550) @ Episode 1/5, action 7, reward -1,loss: 0.640741586685
Step 46 (2551) @ Episode 1/5, action 0, reward -1,loss: 1.2150233984
Step 47 (2552) @ Episode 1/5, action 0, reward -1,loss: 1.27454996109
Step 48 (2553) @ Episode 1/5, action 0, reward -1,loss: 1.08113718033
Step 49 (2554) @ Episode 1/5, action 0, reward -1,loss: 1.26015722752
Episode Reward: -44 Episode Length: 50Step 0 (2555) @ Episode 2/5, action 8, reward 1,loss: 1.26784384251
Step 1 (2556) @ Episode 2/5, action 1, reward 1,loss: 1.0893933773
Step 2 (2557) @ Episode 2/5, action 6, reward 1,loss: 1.06195878983
Step 3 (2558) @ Episode 2/5, action 6, reward 1,loss: 0.809068918228
Step 4 (2559) @ Episode 2/5, action 2, reward -1,loss: 0.989394783974
Step 5 (2560) @ Episode 2/5, action 0, reward -1,loss: 1.5616209507
Step 6 (2561) @ Episode 2/5, action 6, reward 1,loss: 0.795787334442
Step 7 (2562) @ Episode 2/5, action 8, reward -1,loss: 0.695159435272
Step 8 (2563) @ Episode 2/5, action 1, reward -1,loss: 0.769397139549
Step 9 (2564) @ Episode 2/5, action 8, reward -1,loss: 0.910114526749
Step 10 (2565) @ Episode 2/5, action 0, reward 1,loss: 1.31420779228
Step 11 (2566) @ Episode 2/5, action 7, reward -1,loss: 1.0925424099
Step 12 (2567) @ Episode 2/5, action 7, reward -1,loss: 1.00215053558
Step 13 (2568) @ Episode 2/5, action 9, reward 1,loss: 1.25479745865
Step 14 (2569) @ Episode 2/5, action 7, reward -1,loss: 0.874272465706
Step 15 (2570) @ Episode 2/5, action 7, reward -1,loss: 0.783404588699
Step 16 (2571) @ Episode 2/5, action 7, reward 1,loss: 1.02665865421
Step 17 (2572) @ Episode 2/5, action 3, reward 1,loss: 1.04104995728
Step 18 (2573) @ Episode 2/5, action 3, reward 1,loss: 0.75849878788
Step 19 (2574) @ Episode 2/5, action 3, reward -1,loss: 1.31891989708
Step 20 (2575) @ Episode 2/5, action 7, reward 1,loss: 1.03300714493
Step 21 (2576) @ Episode 2/5, action 7, reward 1,loss: 0.766388773918
Step 22 (2577) @ Episode 2/5, action 2, reward -1,loss: 0.917621612549
Step 23 (2578) @ Episode 2/5, action 3, reward -1,loss: 0.983055353165
Step 24 (2579) @ Episode 2/5, action 7, reward 1,loss: 0.788144767284
Step 25 (2580) @ Episode 2/5, action 7, reward 1,loss: 1.22072911263
Step 26 (2581) @ Episode 2/5, action 7, reward 1,loss: 1.85489809513
Step 27 (2582) @ Episode 2/5, action 7, reward -1,loss: 1.53180885315
Step 28 (2583) @ Episode 2/5, action 7, reward -1,loss: 0.615035712719
Step 29 (2584) @ Episode 2/5, action 7, reward -1,loss: 0.8085064888
Step 30 (2585) @ Episode 2/5, action 3, reward -1,loss: 0.706557393074
Step 31 (2586) @ Episode 2/5, action 6, reward 1,loss: 0.909502863884
Step 32 (2587) @ Episode 2/5, action 0, reward -1,loss: 1.01581466198
Step 33 (2588) @ Episode 2/5, action 2, reward -1,loss: 0.66114372015
Step 34 (2589) @ Episode 2/5, action 8, reward 1,loss: 0.92816567421
Step 35 (2590) @ Episode 2/5, action 4, reward -1,loss: 1.0454890728
Step 36 (2591) @ Episode 2/5, action 5, reward -1,loss: 0.945658385754
Step 37 (2592) @ Episode 2/5, action 2, reward -1,loss: 1.08612298965
Step 38 (2593) @ Episode 2/5, action 7, reward -1,loss: 1.25604104996
Step 39 (2594) @ Episode 2/5, action 3, reward -1,loss: 1.51265525818
Step 40 (2595) @ Episode 2/5, action 7, reward -1,loss: 1.08113634586
Step 41 (2596) @ Episode 2/5, action 7, reward -1,loss: 0.704976737499
Step 42 (2597) @ Episode 2/5, action 2, reward -1,loss: 0.650936603546
Step 43 (2598) @ Episode 2/5, action 2, reward -1,loss: 0.985413610935
Step 44 (2599) @ Episode 2/5, action 6, reward 1,loss: 1.30570530891
